Feiertage;Art;von;bis;Beschreibung
Neujahr;säkular;01.01.2018;;Nach gregorianischem Kalender beginnt an diesem Tag das Jahr 2018 nach Christus.
Welttag der Brailleschrift;säkular;04.01.2018;;Die Brailleschrift wird von stark Sehbehinderten und Blinden benutzt, ist also eine Blindenschrift. Sie wurde 1825 vom Franzosen Louis Braille entwickelt. Die Schrift arbeitet mit Punktmustern, die von hinten in das Papier gepresst sind, so dass sie als Erhöhung mit den Fingerspitzen abgegriffen werden können. Das inhaltliche Angebot in Brailleschrift umfasst ein weites Spektrum unterschiedlichster Werke von klassischer und moderner Literatur, über Fachbücher bis hinzu Zeitschriften zu unterschiedlichesten Themenbereichen. So veröffentlichte z.B. der Playboy in den Jahren von 1970 bis 1985 sein Magazin auch in Brailleschrift. 
Geburt Guru Gobind Singh;Sikh;05.01.2018;;Gobind Singh wurde 1666 im indischen Patna geboren und war der zehnte und letzte menschliche Guru des Sikhismus.
Heilige Drei Könige;christ.evan./kath.;06.01.2018;;"Auch das „Fest der Erscheinung (griech.: Epiphanie) des Herrn“ feiert die Geburt Jesu Christi, doch weniger das kleine Kind in der Krippe,
sondern die Ankunft Gottes in der Welt. In Deutschland gedenkt man besonders der Heiligen Drei Könige, die durch ihre Geschenke und
ihre Anbetung im Jesuskind den Gottessohn bekennen. In Erinnerung daran ziehen die „Sternsinger“, als Könige verkleidete Kinder,
durch die Straßen und sammeln für Kinder in armen Ländern. C + M + B (Christus Mansionem Benedicat – Christus segne dieses Haus)
schreiben sie an die Türen."
Theophanie;christ.evan./kath.;06.01.2018;;"Am Fest der Theophanie (griech.: Erscheinung Gottes) wird die Taufe Jesu Christi im Jordan (Mt 3,13-17) und dabei die Offenbarung
des dreieinigen Gottes gefeiert. "
Weihnachten / ????? ?????? ? ????????????;armenisch;06.01.2018;;Die Christen feiern die Geburt Jesu Christi in Bethlehem. Die armenische Kirche richtet sich bei ihrem Weihnachtsfest nach  Theophanie am 6. Januar. Dieses Fest ist älter als das Weihnachtsfest.
Weihnachten ;christ.ortho./altorient.;07.01.2018;;Zwei Tage lang feiern die Christen die Geburt Jesu Christi in Bethlehem. Die orthodoxen Kirchen richten sich nach dem Julianischen Kalender  – die Altkalendarier –, dazu gehören z. B. die russische, weißrussische, ukrainische, serbische, mazedonische, georgische und jerusalemitische Kirche, sowie die Klöster auf dem Berge Athos. Sie begehen alle festliegenden Feiertageim Zeitraum der Jahre 1900 bis 2100 jeweils 13 Tage später als die westlichen Kirchen und die orthodoxen Neukalendarier. Die östlichen Kirchen stellten von jeher die Theophanie  am 6. Januar in den Mittelpunkt. Sie ist älter als das Weihnachtsfest.
1.Weihnachtsfeiertag;christ.ortho./altorient.;08.01.2018;;Zwei Tage lang feiern die Christen die Geburt Jesu Christi in Bethlehem. Die orthodoxen Kirchen richten sich nach dem Julianischen Kalender  – die Altkalendarier –, dazu gehören z. B. die russische, weißrussische, ukrainische, serbische, mazedonische, georgische und jerusalemitische Kirche, sowie die Klöster auf dem Berge Athos. Sie begehen alle festliegenden Feiertageim Zeitraum der Jahre 1900 bis 2100 jeweils 13 Tage später als die westlichen Kirchen und die orthodoxen Neukalendarier.
Pongalfest der Tamilen ;hinduistisch;14.01.2018;16.01.2018;"Pongal und Markar Sankranti (Sonnenwende) sind Feste, an denen besonders für die Zuckerrohrernte gedankt wird. Man kocht und verteilt
süße Milchreisspeisen. „Pongal“ heißt „überkochend“. Feindschaften werden beendet, Kindern Schutz gewährt und des Wettergottes
Indra gedacht."
Theophanie;christ.ortho.;19.01.2018;;"Am Fest der Theophanie (griech.: Erscheinung Gottes) wird die Taufe Jesu Christi im Jordan (Mt 3,13-17) und dabei die Offenbarung
des dreieinigen Gottes gefeiert. Nach orthodoxem Verständnis wurde durch das Eintauchen Christi in das Wasser dieses und die ganze
Schöpfung geheiligt. An diesem Tag wird die Wasserweihe (Segnung der Flüsse, Seen, des Meeres und des Wassers allgemein) vollzogen."
Vasant Rangapancami/Sarasvati Puja;hinduistisch;22.01.2018;;"Fest zum Frühlingsbeginn und der Beginn des Drachensteigens. Sarasvati, die Göttin der Gelehrsamkeit, Weisheit, Musik und Kunst wird
verehrt."
